symbol,date,open,high,low,close,volume
GODREJCP,2024-03-27,1157.543187402347,1196.1778497320986,1153.8775517424278,1191.40283203125,1096345
GODREJCP,2024-03-28,1192.2709644905524,1214.9887447724204,1177.1258561401717,1207.5609130859375,1334466
GODREJCP,2024-04-01,1207.7537978839157,1226.5163796702486,1179.1516176974662,1184.9395751953125,901422
GODREJCP,2024-04-02,1186.53109423517,1190.3414518661784,1160.0029600144649,1166.41796875,704958
GODREJCP,2024-04-03,1166.3699589346156,1166.3699589346156,1138.4912715062214,1147.3662109375,1169930
GODREJCP,2024-04-04,1156.5303950231626,1158.9902063005327,1131.7385731417362,1135.9349365234375,685423
GODREJCP,2024-04-05,1138.877254735665,1173.1226751822057,1133.8127911485008,1167.334716796875,1654663
GODREJCP,2024-04-08,1186.5311332204249,1234.1853339920788,1173.845837797747,1202.1585693359375,2041460
GODREJCP,2024-04-09,1202.1589028117098,1205.0528819882006,1177.0777499487906,1193.9111328125,576031
GODREJCP,2024-04-10,1193.9108495449743,1195.4542811883118,1173.0259478918597,1186.6759033203125,568929
GODREJCP,2024-04-12,1186.6760168510518,1191.3063122240496,1151.1283345509132,1157.350341796875,1580342
GODREJCP,2024-04-15,1139.214754269883,1157.253960183976,1129.1341081387015,1135.790283203125,935415
GODREJCP,2024-04-16,1135.7901082170897,1148.7165689473193,1130.6773658124448,1135.6453857421875,808868
GODREJCP,2024-04-18,1136.8513478074271,1152.237621449522,1117.220548339696,1121.657958984375,1102121
GODREJCP,2024-04-19,1121.6095568344813,1133.908965495526,1099.7601133004785,1127.542236328125,927227
GODREJCP,2024-04-22,1133.4265556276623,1148.4753370130682,1124.35885114707,1143.603759765625,700862
GODREJCP,2024-04-23,1152.1893756550455,1152.1893756550455,1134.5843390878201,1136.70654296875,680331
GODREJCP,2024-04-24,1139.8418777662475,1177.9942159969944,1134.5362494171902,1169.9393310546875,1017249
GODREJCP,2024-04-25,1181.9009443098962,1186.5313576863157,1143.7968885142789,1159.3280029296875,872879
GODREJCP,2024-04-26,1159.2795571309366,1169.1673170315748,1147.1730332720306,1160.0030517578125,792722
GODREJCP,2024-04-29,1161.9324775467,1177.9458032086204,1149.1990180459677,1175.003662109375,577131
GODREJCP,2024-04-30,1181.7077261348786,1196.177616658979,1173.459841433633,1176.402099609375,1122951
GODREJCP,2024-05-02,1184.553698658475,1210.2619003314255,1174.4730530265974,1189.7147216796875,1148854
GODREJCP,2024-05-03,1200.036674949731,1210.6479317217943,1189.1359731631771,1206.982177734375,728587
GODREJCP,2024-05-06,1215.2781040818095,1225.1175840321507,1185.4218214392215,1205.9691162109375,837606
GODREJCP,2024-05-07,1226.709243421001,1302.290289642712,1222.3682757888585,1275.617431640625,8181717
GODREJCP,2024-05-08,1272.3860622883115,1324.4294026463317,1263.0770732320605,1302.5799560546875,2833714
GODREJCP,2024-05-09,1294.5730533802855,1304.8948629626955,1273.7364316610406,1283.8653564453125,1053919
GODREJCP,2024-05-10,1288.206368731128,1288.8815833042338,1267.128581407607,1274.2669677734375,621712
GODREJCP,2024-05-13,1277.4505134332067,1301.8081690603076,1265.0063806704768,1291.0040283203125,1132890
GODREJCP,2024-05-14,1298.4876145197259,1307.186267773645,1265.1992905696507,1270.2047119140625,985957
GODREJCP,2024-05-15,1275.5503743404786,1280.1183599890187,1251.2523259060852,1255.3343505859375,668668
GODREJCP,2024-05-16,1259.7568466930213,1270.9339507813531,1244.0602811360582,1266.1715087890625,545707
GODREJCP,2024-05-17,1266.2199541272023,1266.2199541272023,1253.779305806262,1258.736083984375,447847
GODREJCP,2024-05-21,1263.4985033089533,1264.4217816811693,1235.5071043939065,1246.878662109375,645796
GODREJCP,2024-05-22,1253.7792665123084,1290.1776946605216,1247.6561110094258,1268.9898681640625,1187844
GODREJCP,2024-05-23,1277.2024674933446,1291.6841266523948,1256.792108832923,1282.9854736328125,1121198
GODREJCP,2024-05-24,1289.2057804769715,1289.2057804769715,1262.1377787933702,1273.557861328125,1227461
GODREJCP,2024-05-27,1273.6065392403434,1298.390548814176,1273.6065392403434,1291.6356201171875,786120
GODREJCP,2024-05-28,1297.4672182467448,1306.5061402467747,1286.5817393726375,1293.628173828125,798302
GODREJCP,2024-05-29,1274.1897982993753,1287.7480633413109,1257.2298061071363,1263.10986328125,427388
GODREJCP,2024-05-30,1262.8182482041805,1266.608648928281,1230.841992039245,1238.179931640625,433156
GODREJCP,2024-05-31,1253.5851073997242,1253.5851073997242,1223.8928413185843,1234.68115234375,1385034
GODREJCP,2024-06-03,1259.5620948250066,1279.097819246463,1245.809495334921,1269.81591796875,825033
GODREJCP,2024-06-04,1280.9929195685656,1319.480998734479,1216.5544574169128,1310.587890625,2052727
GODREJCP,2024-06-05,1329.492054850845,1425.9066645231364,1315.0590376684017,1386.73828125,5508364
GODREJCP,2024-06-06,1386.932632406653,1387.1756128958623,1337.3646126079568,1362.7803955078125,1356564
GODREJCP,2024-06-07,1362.7803828900387,1421.3386802472965,1352.478033971516,1387.807373046875,1327582
GODREJCP,2024-06-10,1389.8484382669337,1407.1486970535384,1369.9726811348598,1383.0936279296875,771291
GODREJCP,2024-06-11,1383.0935757146283,1402.7263516093176,1380.1778098702991,1389.07080078125,625008
GODREJCP,2024-06-12,1401.6572402567172,1402.4833501717067,1363.6551163818747,1377.01904296875,784605
GODREJCP,2024-06-13,1366.5709897952145,1372.9370077758476,1350.971594075558,1369.729736328125,873993
GODREJCP,2024-06-14,1369.7297652323457,1379.3516984213807,1350.7772856349452,1353.8387451171875,514175
GODREJCP,2024-06-18,1353.8386451047547,1369.438040001214,1341.6896206192932,1364.23828125,973039
GODREJCP,2024-06-19,1370.4098783805046,1371.138819805175,1347.8613377678216,1352.720947265625,434087
GODREJCP,2024-06-20,1352.7210738647825,1357.7263772017106,1317.9262191469886,1322.83447265625,1302617
GODREJCP,2024-06-21,1330.5611951618105,1337.6076295408632,1315.0104434287289,1318.7523193359375,1292944
GODREJCP,2024-06-24,1318.3149873664995,1348.1044195553277,1282.3538743802096,1342.0299072265625,1034894
GODREJCP,2024-06-25,1347.083965738311,1347.083965738311,1327.4025441609656,1336.8787841796875,563754
GODREJCP,2024-06-26,1336.8787917106295,1389.702731871175,1331.7762009025737,1374.540771484375,1980304
GODREJCP,2024-06-27,1358.7956493408494,1370.1184461414375,1317.8776367274324,1323.7578125,6032650
GODREJCP,2024-06-28,1327.6453428158711,1343.3419055535671,1320.7932458222513,1337.21875,624365
GODREJCP,2024-07-01,1337.2186735781124,1362.6344540640014,1331.7759348653337,1358.79541015625,843562
GODREJCP,2024-07-02,1379.8861381535178,1379.8861381535178,1326.9650373645013,1332.6507568359375,498934
GODREJCP,2024-07-03,1350.9715163916874,1351.408833813968,1321.036272744011,1329.5892333984375,490580
GODREJCP,2024-07-04,1333.3796828410439,1344.1193486866227,1322.0567689392471,1325.5556640625,360720
GODREJCP,2024-07-05,1329.4433120216538,1339.9886406291598,1321.8137490370236,1335.226318359375,579386
