symbol,date,open,high,low,close,volume
MANAPPURAM,2024-04-29,191.1504745979213,191.97545084882645,188.28734524805336,191.10194396972656,3682078
MANAPPURAM,2024-04-30,191.1989887954819,201.19569015632695,189.84022017960547,194.2562255859375,13862220
MANAPPURAM,2024-05-02,195.27531506120536,197.02231390998546,193.33420852022027,194.98414611816406,4509861
MANAPPURAM,2024-05-03,195.46941823584882,200.3707151004541,189.93726768379034,191.19898986816406,9007588
MANAPPURAM,2024-05-06,192.2665933208274,192.6548086739657,186.3462129239366,186.88002014160156,4439170
MANAPPURAM,2024-05-07,187.31676901932298,188.0932145470995,179.30970505865244,180.18319702148438,6017024
MANAPPURAM,2024-05-08,180.47438959842935,182.1243273052775,172.41879395973714,174.69960021972656,7396614
MANAPPURAM,2024-05-09,166.54695196188138,169.6527195554767,160.18982489422135,160.91773986816406,27835757
MANAPPURAM,2024-05-10,162.61622893957576,169.79831834395756,162.61622893957576,169.361572265625,15815293
MANAPPURAM,2024-05-13,169.3615367565363,170.08945167096266,165.18815495193172,168.43951416015625,7451346
MANAPPURAM,2024-05-14,169.84683014286063,173.14670549042032,168.92480745540735,170.62327575683594,4470546
MANAPPURAM,2024-05-15,172.0791029763493,176.15542387266615,171.30265737479655,174.26284790039062,6621968
MANAPPURAM,2024-05-16,175.57306361688524,180.42582949694804,175.42748656426983,179.64939880371094,11335527
MANAPPURAM,2024-05-17,180.32877885385312,182.80369235678234,176.98037343669753,178.24208068847656,10027295
MANAPPURAM,2024-05-21,178.0965446152832,178.1936058767359,174.3599081913928,174.74813842773438,5382020
MANAPPURAM,2024-05-22,176.1068805465051,176.25247241662322,171.88498288348575,173.2922821044922,4116765
MANAPPURAM,2024-05-23,173.14669023437406,174.69958132549866,168.39098533318898,173.2922821044922,7633796
MANAPPURAM,2024-05-24,174.06874518490673,176.54364432208718,172.12763853019672,175.0878143310547,9065936
MANAPPURAM,2024-05-27,174.99076567479523,174.99076567479523,168.73069975428058,170.62327575683594,11757128
