symbol,date,open,high,low,close,volume
TCS,2024-04-29,3599.3179183210755,3636.6428346569596,3581.687029156828,3629.515380859375,1110693
TCS,2024-04-30,3631.2030581143713,3640.3467125091584,3573.058794270598,3583.04638671875,2203078
TCS,2024-05-02,3543.0953483074395,3630.358669571532,3543.0953483074395,3623.043701171875,2491044
TCS,2024-05-03,3648.224242496259,3651.459872612422,3561.430044438285,3604.381591796875,2962234
TCS,2024-05-06,3613.384573734727,3694.927167103904,3613.384573734727,3677.20263671875,2053831
TCS,2024-05-07,3686.346699307951,3739.9894307070917,3670.122526848597,3731.502197265625,2062112
TCS,2024-05-08,3714.6681858171114,3736.5192209369857,3693.66131770256,3729.626220703125,1247685
TCS,2024-05-09,3715.6058295864877,3724.0461255143723,3666.8866116609574,3713.917724609375,1726486
TCS,2024-05-10,3716.1687445881325,3726.484662213695,3643.441479536376,3651.740966796875,1672489
TCS,2024-05-13,3642.925840662716,3709.0414982162547,3629.327584853832,3702.289306640625,931326
TCS,2024-05-14,3691.222770938554,3700.413361230903,3650.8030397651737,3658.5869140625,1058317
TCS,2024-05-15,3661.681404655483,3682.7352063564636,3634.484897872282,3639.080078125,1115021
TCS,2024-05-16,3675.6374588606977,3693.018499850829,3630.6731306245456,3684.94189453125,2599399
TCS,2024-05-17,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804
TCS,2024-05-21,3618.4875873749434,3631.8539646234467,3599.075460107987,3608.663330078125,1908117
TCS,2024-05-22,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168
TCS,2024-05-23,3628.2645114562283,3688.7679082914883,3613.6700725144915,3677.857421875,2095742
TCS,2024-05-24,3663.4993323947815,3668.742057896385,3631.429294761055,3636.34130859375,1309452
TCS,2024-05-27,3641.5365929797185,3691.9325288692844,3628.64252842061,3634.02685546875,1841538
TCS,2024-05-28,3644.370298755804,3655.7058206803945,3617.9207475984267,3627.2724609375,1801993
TCS,2024-05-29,3635.774149635783,3635.774149635783,3589.5819894414226,3593.02978515625,1568095
TCS,2024-05-30,3567.855604818015,3584.2920197241397,3509.7137762005277,3529.220458984375,2919230
